time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2012-07-21T06:04:21.520Z,40.43,-125.234,-0.46,5.2,mh,13,332,2.309,1.34,ci,ci15181273,2016-03-11T17:51:49.695Z,"84km W of Ferndale, CA",earthquake,99,31.61,,0,reviewed,ci,ci
2012-07-01T06:36:06.350Z,32.2131667,-115.2886667,9.641,4.65,mw,14,189,0.2062,0.22,ci,ci11129914,2016-03-12T03:21:30.599Z,"11km W of Alberto Oviedo Mota, B.C., MX",earthquake,1.24,31.61,,6,reviewed,ci,ci
2012-07-01T03:25:20.450Z,32.2071667,-115.3431667,2.821,4.64,mw,10,187,0.2142,0.24,ci,ci11129826,2016-03-11T03:16:32.214Z,"16km W of Alberto Oviedo Mota, B.C., MX",earthquake,1.26,8.28,,0,reviewed,ci,ci
2012-02-14T10:09:28.440Z,32.1991667,-115.2085,9.963,4.87,mw,17,244,0.2344,0.31,ci,ci11066877,2016-03-11T12:06:17.170Z,"5km SW of Alberto Oviedo Mota, B.C., MX",earthquake,2.8,31.61,,0,reviewed,ci,ci
2012-02-13T21:07:02.770Z,41.143,-123.79,28.2,5.6,mwr,526,23.1,,,us,usp000jewr,2015-01-28T03:48:26.041Z,"Northern California",earthquake,,,,,reviewed,nc,brk
2011-11-18T13:09:00.980Z,48.4693333,-119.6075,11.168,4.6,md,21,121,0.2138,0.26,uw,uw10831488,2016-09-01T18:43:34.819Z,"Washington",earthquake,0.87,0.94,0.04,21,reviewed,uw,uw
2011-10-27T06:37:09.300Z,39.604,-120.47,13.365,4.7,mh,0,,0.7978,,ci,ci11026045,2016-03-10T19:24:36.784Z,"23km S of Portola, CA",earthquake,,,,0,reviewed,ci,ci
2011-03-01T02:19:46.900Z,38.814,-122.818,1.78,4.5,mh,5,243,1.139,0.74,ci,ci10900645,2016-03-10T08:22:18.610Z,"7km NW of The Geysers, CA",earthquake,21.87,27.08,,0,reviewed,ci,ci
2011-02-20T19:34:39.980Z,32.0468333,-115.2518333,9.908,4.5,mw,5,310,0.3743,0.18,ci,ci14937988,2016-03-10T20:53:00.105Z,"22km SSW of Alberto Oviedo Mota, B.C., MX",earthquake,1.58,31.61,,0,reviewed,ci,ci
2011-02-18T17:47:35.770Z,32.047,-115.0621667,14.929,5.07,mw,11,270,0.4246,0.26,ci,ci14937372,2016-03-10T08:21:53.297Z,"17km SSW of Estacion Coahuila, B.C., MX",earthquake,3.98,31.61,,6,reviewed,ci,ci
2011-01-26T00:11:28.000Z,31.236,-115.653,5,4.5,mb,55,181.9,,,us,usp000htnp,2016-03-14T20:12:39.979Z,"Baja California, Mexico",earthquake,,,,1,reviewed,ecx,us
2011-01-12T08:51:03.600Z,36.77,-121.499,4.756,4.5,mh,7,151,0.042,0.22,ci,ci10872533,2016-03-10T09:47:30.246Z,"9km SSE of San Juan Bautista, CA",earthquake,2.26,1.02,,0,reviewed,ci,ci
2011-01-03T12:06:36.000Z,38.247,-112.34,5.4,4.6,mwr,134,33.4,,,us,usp000hsh5,2015-01-28T15:52:49.387Z,"Utah",earthquake,,,,,reviewed,slc,us
2010-12-11T12:52:26.310Z,32.1633333,-115.2638333,13.005,4.87,ml,13,250,0.2578,0.18,ci,ci14895612,2016-03-10T23:59:16.150Z,"11km SW of Alberto Oviedo Mota, B.C., MX",earthquake,2.48,1.12,0.172,186,reviewed,ci,ci
2010-11-04T19:39:59.550Z,32.8645,-115.9973333,13.146,4.57,ml,64,39,0.03251,0.25,ci,ci10832573,2016-03-10T06:46:30.992Z,"14km N of Ocotillo, CA",earthquake,0.26,0.58,0.146,196,reviewed,ci,ci
2010-09-20T00:30:02.400Z,32.0261667,-115.1083333,9.939,4.75,mw,9,272,0.4261,0.22,ci,ci14844244,2016-03-10T02:09:38.188Z,"21km SSW of Estacion Coahuila, B.C., MX",earthquake,4.9,31.61,,0,reviewed,ci,ci
2010-09-15T06:09:53.380Z,32.1646667,-115.2466667,13.745,4.79,ml,11,255,0.2589,0.2,ci,ci10798845,2016-03-10T12:35:08.309Z,"10km SW of Alberto Oviedo Mota, B.C., MX",earthquake,2.7,1.39,0.197,363,reviewed,ci,ci
